Label, Id
Mycah Umber,307
Lannister guardsman (Garden of Bones),308
Hobb,309
Deep Ones,310
The Bastard of Bolton,311
Brandon Stark (Son of Eddard),312
Laurence Karstark,313
Shrykos,314
David Coakley,315
Xaro,316
Cleos Umber,317
Newborn Bolton,318
Jonos Bracken,319
Catspaw,320
Rob,321
Beric Dayne,322
Glamour,323
Freya Frey,324
Garlan Tyrell,325
Valyrians,326
Morgana Umber,327
Tommard Baratheon,328
Red Viper,329
Jory Cassel,330
Gregor Forrester,331
Robin Hill,332
Petra Tallhart,333
Pyp,334
Martyn Lannister,335
Qarlton Chelsted,336
Sansa Stark,337
Baelish (father of Petyr),338
Bowen Marsh,339
Artys I Arryn,340
House Slynt,341
Stranger,342
Barra,343
Drennan,344
Great Houses,345
Matthos Seaworth,346
Lost Legion,347
Temple of the Dosh Khaleen,348
Ramsay,349
Johanna Lannister,350
Lady,351
Sam Stone,352
Second Sons,353
Mummer 1,354
Lysa Tully,355
Morag,356
Harry Strickland,357
Lorren,358
Edric Baratheon,359
Dwarf 2,360
Stableboy,361
Meereenese freedman,362
Aegon II Targaryen,363
Harlon the Hunter,364
Mighdal,365
Drogo,366
Ghiscar (dragon),367
Dorna Lannister,368
Clarenzo,369
Baratheon soldier (Mother's Mercy),370
Child of the Forest 4,371
Ronnel Arryn,372
Shella Whent,373
Rhaenys Targaryen (sister of Aegon I),374
House Darry,375
Shadow (snow bear),376
Sellsword 1 (High Sparrow),377
Samuel Paul Small,378
Baratheon Guard,379
Jodan,380
Wights,381
Braavosi Madam,382
Unidentified Warlock,383
Loboda,384
Dreamfyre,385
Eunuch,386
The Beast,387
White Walkers,388
Michael Hough,389
Petyr Baratheon,390
Penn,391
House Baratheon of Storm's End,392
Lannister bannerman 2 (The Ghost of Harrenhal),393
Cedric Umber,394
Asher Forrester,395
Mummer 2,396
Gryff Whitehill,397
Assassination on the Red Keep,398
Battle of Winterfell (War of the Five Kings),399
Captain of the archers (House Lannister),400
Street tough 2,401
Urzen,402
Massacre in King's Landing,403
Baratheon officer,404
White Walker (The Door),405
Stark soldier (Valar Morghulis),406
War of the Five Kings,407
Gendry Waters,408
Red Woman,409
Garth Gardener,410
Flayed man,411
Dying man,412
Trial by combat,413
Great Master 7,414
Mother of Dragons,415
Lancel Lannister,416
Nelugo,417
Rhaenys Targaryen (Queen Who Never Was),418
Red Priest,419
Viola Redwyne,420
Jason McLaughlin,421
Vivian Cerwyn,422
Baratheon (son of Robert),423
Young Bravo,424
Tommen II Lannister,425
House Tully (Histories & Lore),426
House Gardener,427
Child of the Forest 2 (The Children),428
Beggar woman,429
Tragedy of Summerhall,430
House Clegane,431
Colen of Greenpools,432
Sweetrobin Arryn,433
The Sack of King's Landing (Complete Guide to Westeros),434
Horned Lord,435
Waif,436
Great Master 3 (Kill the Boy),437
House Qorgyle,438
Bran I the Broken,439
Skinchanging,440
Sera,441
Great Master 3 (Breaker of Chains),442
Boake,443
Dickon,444
Rorge,445
Gared's Father,446
Colen,447
Bending the knee,448
Goldcloak 2 (Eastwatch),449
Boat commander,450
Brienne of Tarth,451
Borros Baratheon,452
Male prostitute,453
Jacaerys Velaryon,454
Robin Arryn,455
Whore (The Smith),456
Tyrell lady,457
Ellaria Sand,458
Wight,459
Emilio Doorgasingh,460
Benedict Blackmont,461
Gold Cloak 2 (The Wolf and the Lion),462
Targaryen,463
Tyrell server,464
Mallister supporter,465
Tywin,466
Temple of the dosh khaleen,467
Mhaegen,468
Viserys II Targaryen,469
Bolton soldier 1,470
Morgan (Two Swords),471
Clegane (founder),472
Bran the Broken,473
Mandon Moore,474
Zanrush,475
Hollys Umber,476
Walder Frey,477
Lysa Baelish,478
Daenerys Targaryen (daughter of Aegon IV),479
Street tough 1,480
Brandon Stark (the elder),481
Elissa Forrester,482
Sellsails,483
Martell,484
Raymont Baratheon,485
King of the Iron Islands,486
Daniel Rabin,487
Barbrey Ryswell,488
Laygood (knight),489
Illyrio Mopatis,490
Volantene whore 1 (The Broken Man),491
Daeron I Targaryen,492
Drogo and Daenerys Targaryen,493
Legitimization,494
